time,x,y,velocity_x,velocity_y,enemy_distance,goal_distance,hp,action
0.0,100,200,0,0,500,1700,3,RIGHT
0.0001,104,201,4,0.8,494,1696,3,RIGHT
0.0002,108,203,4,1.6,488,1692,3,RIGHT
0.0002,112,205,4,2.4000000000000004,482,1688,3,RIGHT
0.0003,116,208,4,3.2,476,1684,3,RIGHT
0.0003,120,212,4,4.0,470,1680,3,RIGHT
0.0003,124,217,4,4.8,464,1676,3,RIGHT
0.0003,128,223,4,5.6,458,1672,3,RIGHT
0.0004,132,229,4,6.3999999999999995,452,1668,3,RIGHT
0.0004,136,236,4,7.199999999999999,446,1664,3,RIGHT
0.0004,140,244,4,7.999999999999999,440,1660,3,RIGHT
0.0008,144,253,4,8.799999999999999,434,1656,3,RIGHT
0.0008,148,263,4,9.6,428,1652,3,RIGHT
0.0008,152,273,4,10.4,422,1648,3,RIGHT
0.0009,156,284,4,11.200000000000001,416,1644,3,RIGHT
0.0009,160,296,4,12.000000000000002,410,1640,3,RIGHT
0.0009,164,309,4,12.800000000000002,404,1636,3,RIGHT
0.0009,168,310,4,0,398,1632,3,RIGHT
0.0009,172,310,4,0,392,1628,3,RIGHT
0.001,176,310,4,0,386,1624,3,RIGHT
0.001,180,310,4,0,380,1620,3,RIGHT
0.0011,184,310,4,0,374,1616,3,RIGHT
0.0011,188,310,4,0,368,1612,3,RIGHT
0.0012,192,310,4,0,362,1608,3,RIGHT
0.0012,196,310,4,0,356,1604,3,RIGHT
0.0012,200,310,4,0,350,1600,3,RIGHT
0.0012,204,310,4,0,344,1596,3,RIGHT
0.0013,208,310,4,0,338,1592,3,RIGHT
0.0013,212,310,4,0,332,1588,3,RIGHT
0.0013,216,310,4,0,326,1584,3,RIGHT
0.0013,220,310,4,0,320,1580,3,RIGHT
0.0013,224,310,4,0,314,1576,3,RIGHT
0.0014,228,310,4,0,308,1572,3,RIGHT
0.0014,232,310,4,0,302,1568,3,RIGHT
0.0014,236,310,4,0,296,1564,3,RIGHT
0.0015,240,310,4,0,290,1560,3,RIGHT
0.0016,244,310,4,0,284,1556,3,RIGHT
0.0016,248,310,4,0,278,1552,3,RIGHT
0.0016,252,310,4,0,272,1548,3,RIGHT
0.0016,256,310,4,0,266,1544,3,RIGHT
0.0017,260,310,4,0,260,1540,3,RIGHT
0.0017,264,310,4,0,254,1536,3,RIGHT
0.0017,268,310,4,0,248,1532,3,RIGHT
0.0017,272,310,4,0,242,1528,3,RIGHT
0.0018,276,310,4,0,236,1524,3,RIGHT
0.0018,280,310,4,0,230,1520,3,RIGHT
0.0018,284,310,4,0,224,1516,3,RIGHT
0.0018,288,310,4,0,218,1512,3,RIGHT
0.0019,292,310,4,0,212,1508,3,RIGHT
0.0019,296,310,4,0,206,1504,3,RIGHT
0.0019,300,310,4,0,200,1500,3,RIGHT
0.0019,304,310,4,0,194,1496,3,RIGHT
